Response,True_label
Motivation,motivation
Support,support
Support,support
Neutral,neutral
Usage,neutral
Usage,usage
Support,cocores
Neutral,neutral
Neutral,neutral
Neutral,neutral
Neutral,neutral
Neutral,neutral
Neutral,neutral
Usage,neutral
Support,neutral
Support,neutral
Similar,neutral
Neutral,neutral
Basis,neutral
Usage,neutral
Neutral,neutral
Usage,weakness
Future,neutral
Usage,usage
Support,neutral
Neutral,neutral
Neutral,neutral
CoCoRes (Comparison of Results),neutral
Neutral,neutral
Support,neutral
Neutral,neutral
Usage,neutral
Support,neutral
Usage,usage
Future,neutral
Usage,neutral
Support,neutral
Similar,cocoxy
Usage,usage
Support,neutral
CoCoRes,neutral
Motivation,neutral
CoCoRes,cocores
Neutral,neutral
Usage,neutral
Usage,neutral
Neutral,neutral
Usage,neutral
Usage,neutral
Similar,neutral
Usage,neutral
Similar,neutral
Usage,neutral
Usage,neutral
Usage,neutral
Similar,neutral
Usage,basis
Motivation,motivation
Usage,usage
Usage,usage
Neutral,cocoxy
Usage,usage
Neutral,neutral
Usage,neutral
CoCoRes,neutral
Support,neutral
Similar,cocoxy
CoCoGM (Comparison of Goals or Methods),neutral
Support,neutral
CoCoRes,cocoxy
Usage,neutral
Neutral,neutral
Neutral,neutral
CoCoRes,neutral
Neutral,neutral
Support,neutral
Support,support
Neutral,neutral
Neutral,neutral
Usage,neutral
Neutral,neutral
Usage,neutral
Support,neutral
Support,neutral
Weakness,usage
Support,neutral
Neutral,neutral
Support,neutral
Support,basis
Neutral,neutral
Neutral,neutral
Usage,usage
Neutral,neutral
Neutral,neutral
Usage,usage
Usage,neutral
Weakness,weakness
CoCoRes,cocoxy
CoCoRes,cocoxy
CoCoGM (Comparison of Goals or Methods),cocoxy
